cell	genome	process	n_tasks	n_failed	n_aborted	n_superseded	n_unresolved	realtime_hours_sum	wall_clock_hours	cpu_hours_sum	peak_rss_gb_max	rss_field	overhead_task_time_hours_sum	overhead_cpu_hours_sum	attempts	cpus	queues
v1.9.0-rc1_container	Pyrenophora_teres	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.3686	0.3834	4.6928	4.4	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Pyrenophora_tritici-repentis	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.3294	1.3334	16.0145	3.7	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Pyricularia_oryzae_70-15	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.5958	1.6001	9.883	12.1	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Rhizopus_delemar	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.9889	2.0001	24.4932	3.3	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Rhizopus_microsporus	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.2928	0.3001	2.6622	6.8	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Rhodotorula_graminis_WP1	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.3489	1.3501	8.4791	9.0	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Rhodotorula_toruloides_NP11	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.1964	1.2001	8.017	4.3	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Schizophyllum_commune	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.8906	0.9	10.9521	2.6	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Sclerotinia_sclerotiorum	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.0706	1.0834	13.064	2.8	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Spizellomyces_punctatus_DAOM_BR117	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.8283	0.8334	5.3179	7.3	peak_rss	0.0	0.0	1	8	epyc
