cell	genome	process	task_name	status	exit	realtime_s	cpu_pct	peak_rss_gb	rss_field	cpu_hours	attempt	cpus	memory_req_gb	queue	hostname	submit	start	complete	trace_file	role
v1.9.0-rc1_container	Cystobasidium_minutum_MCA_4210	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Cystobasidium_minutum_MCA_4210)	COMPLETED	0	5121.0	584.5	12.3	peak_rss	8.314512500000001	1	8	32.0	epyc		2026-09-24 01:18:41.213	2026-09-24 01:59:16.276	2026-09-24 03:24:16.546	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Talaromyces_marneffei	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Talaromyces_marneffei)	COMPLETED	0	4131.0	1291.3	7.9	peak_rss	14.8176675	1	16	52.0	epyc		2026-09-24 01:18:49.202	2026-09-24 02:26:16.313	2026-09-24 03:35:16.592	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Mixia_osmundae_IAM_14324	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Mixia_osmundae_IAM_14324)	COMPLETED	0	4271.0	518.5	4.2	peak_rss	6.151426388888889	1	8	32.0	epyc		2026-09-24 01:18:55.275	2026-09-24 02:33:16.266	2026-09-24 03:45:16.622	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Sporobolomyces_koalae_JCM15063	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Sporobolomyces_koalae_JCM15063)	COMPLETED	0	3837.0	644.5	2.8	peak_rss	6.869295833333334	1	8	32.0	epyc		2026-09-24 01:19:01.178	2026-09-24 02:46:16.350	2026-09-24 03:50:16.700	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Sporobolomyces_salmoneus_JCM6883	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Sporobolomyces_salmoneus_JCM6883)	COMPLETED	0	3631.0	637.9	3.5	peak_rss	6.433930277777778	1	8	32.0	epyc		2026-09-24 01:19:07.183	2026-09-24 03:07:16.434	2026-09-24 04:08:16.763	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Parastagonospora_nodorum	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Parastagonospora_nodorum)	COMPLETED	0	3750.0	1263.9	3.8	peak_rss	13.165625000000002	1	16	52.0	epyc		2026-09-24 01:19:03.182	2026-09-24 03:10:16.516	2026-09-24 04:13:16.726	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Tremella_mesenterica_Fries	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Tremella_mesenterica_Fries)	COMPLETED	0	6955.0	653.9	8.0	peak_rss	12.632984722222222	1	8	32.0	epyc		2026-09-24 01:18:47.182	2026-09-24 02:18:16.277	2026-09-24 04:14:16.756	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Aspergillus_clavatus_NRRL_1	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Aspergillus_clavatus_NRRL_1)	COMPLETED	0	6201.0	670.9	11.2	peak_rss	11.5562525	1	8	32.0	epyc		2026-09-24 01:18:51.185	2026-09-24 02:32:16.266	2026-09-24 04:15:16.775	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Orbilia_oligospora	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Orbilia_oligospora)	COMPLETED	0	4783.0	1241.9	3.5	peak_rss	16.50002138888889	1	16	52.0	epyc		2026-09-24 01:18:57.183	2026-09-24 03:02:16.405	2026-09-24 04:22:16.840	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Pyrenophora_tritici-repentis	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Pyrenophora_tritici-repentis)	COMPLETED	0	4786.0	1204.6	3.7	peak_rss	16.014487777777777	1	16	52.0	epyc		2026-09-24 01:18:59.181	2026-09-24 03:03:16.475	2026-09-24 04:23:16.842	annotate_trace.20260924_011756.txt	final
