cell	genome	process	n_tasks	n_completed	n_failed	n_aborted	realtime_hours_sum	cpu_hours_sum	peak_rss_gb_max
v1.8.17_conda	Parastagonospora_nodorum_SN15	TRAIN_PREDICT:GENEMARK_RUN	1	1	0	0	0.3414	1.6458	0.405
v1.8.17_conda	Phycomyces_blakesleeanus_NRRL_1555_-	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0055	0.0294	0.337
v1.8.17_conda	Phycomyces_blakesleeanus_NRRL_1555_-	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.3197	1.692	2.1
v1.8.17_conda	Pneumocystis_murina_B123	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.0997	0.2258	0.51
v1.8.17_conda	Protomyces_lactucae-debilis_12-1054	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0021	0.0081	0.137
v1.8.17_conda	Protomyces_lactucae-debilis_12-1054	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.1239	0.7282	1.008
v1.8.17_conda	Pyrenophora_teres_0-1	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0053	0.016	0.245
v1.8.17_conda	Pyrenophora_tritici-repentis_Pt-1C-BFP	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0046	0.0246	0.274
v1.8.17_conda	Pyrenophora_tritici-repentis_Pt-1C-BFP	TRAIN_PREDICT:GENEMARK_RUN	1	1	0	0	0.3361	1.5754	0.739
v1.8.17_conda	Pyricularia_oryzae_70-15	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0046	0.0254	0.287
v1.8.17_conda	Rhizopus_delemar_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	1	0	0	0.0001	0.0	0.003
v1.8.17_conda	Rhizopus_delemar_RA_99-880	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.005	0.0263	0.292
v1.8.17_conda	Rhizopus_microsporus_ATCC_52813	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.003	0.0142	0.218
v1.8.17_conda	Rhodotorula_graminis_WP1	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.2136	1.1385	1.9
v1.8.17_conda	Rhodotorula_toruloides_NP11	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0029	0.0116	0.194
v1.8.17_conda	Saccharomyces_cerevisiae_S288C	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.002	0.0073	0.176
v1.8.17_conda	Schizophyllum_commune_H4-8	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0052	0.0205	0.272
v1.8.17_conda	Schizophyllum_commune_H4-8	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.3367	1.7571	2.3
v1.8.17_conda	Sclerotinia_sclerotiorum_1980	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0037	0.0192	0.27
v1.8.17_conda	Spizellomyces_punctatus_DAOM_BR117	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.001	0.0011	0.048
v1.8.17_conda	Sporobolomyces_koalae_JCM15063	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.2344	0.8789	1.1
v1.8.17_conda	Sporobolomyces_salmoneus_JCM6883	TRAIN_PREDICT:GENEMARK_RUN	1	1	0	0	0.2536	0.8663	0.523
v1.8.17_conda	Sugiyamaella_lignohabitans_CBS_10342	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.1522	0.4316	2.2
v1.8.17_conda	Talaromyces_marneffei_ATCC_18224	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0032	0.0158	0.208
v1.8.17_conda	Talaromyces_marneffei_ATCC_18224	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.2825	1.2331	1.4
v1.8.17_conda	Talaromyces_stipitatus_ATCC_10500	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	1	0	0.0167	0.0	0.0
v1.8.17_conda	Talaromyces_stipitatus_ATCC_10500	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.2622	1.3439	3.8
v1.8.17_conda	Tilletiaria_anomala_UBC_951	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0026	0.0107	0.19
v1.8.17_conda	Tilletiopsis_washingtonensis_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	1	0	0	0.0004	0.0002	0.003
v1.8.17_conda	Tilletiopsis_washingtonensis_MCA_4186	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0028	0.0096	0.179
v1.8.17_conda	Tilletiopsis_washingtonensis_MCA_4186	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.2447	1.171	0.424
v1.8.17_conda	Tremella_mesenterica_Fries	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.1872	0.9337	0.854
v1.8.17_conda	Tricharina_praecox_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	1	0	0	0.0001	0.0	0.003
v1.8.17_conda	Tricharina_praecox_CBS_144465	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0042	0.0206	0.275
v1.8.17_conda	Tricharina_praecox_CBS_144465	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.4642	2.2568	1.1
v1.8.17_conda	Trichosporon_asahii_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	1	0	0	0.0001	0.0	0.003
v1.8.17_conda	Trichosporon_asahii_CBS_2479	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0029	0.0132	0.217
v1.8.17_conda	Umbelopsis_ramanniana_AG	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0034	0.0118	0.237
v1.8.17_conda	Uncinocarpus_reesii_1704	TRAIN_PREDICT:GENEMARK_RUN	1	1	0	0	0.3122	0.6619	3.0
v1.8.17_conda	Wallemia_mellicola_CBS_633.66	TRAIN_PREDICT:GENEMARK_RUN	1	1	0	0	0.2881	0.4036	0.079
v1.8.17_conda	Zymoseptoria_tritici_+4_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	1	0	0	0.0001	0.0	0.003
v1.8.17_conda	Zymoseptoria_tritici_IPO323	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0043	0.0216	0.265
v1.8.17_container	-	FETCH_RNASEQ:COLLECT_SRA_QUERY	1	1	0	0	0.0	0.0	0.003
v1.8.17_container	Allomyces_macrogynus	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0166	0.0	0.0
v1.8.17_container	Aspergillus_clavatus_NRRL_1	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0	0.0	0.0
v1.8.17_container	Aspergillus_fumigatus	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0166	0.0	0.0
v1.8.17_container	Batrachochytrium_dendrobatidis_JAM81	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0	0.0	0.0
v1.8.17_container	Blastomyces_dermatitidis	FETCH_RNASEQ:WRITE_EMPTY_READS	1	1	0	0	0.0	0.0	0.0
v1.8.17_container	Blastomyces_dermatitidis_ER-3	TRAIN_PREDICT:GENEMARK_RUN	2	0	2	0	0.0166	0.0	0.0
v1.8.17_container	Botrytis_cinerea	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0	0.0	0.0
v1.8.17_container	Chaetomium_globosum_CBS_148.51	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0	0.0	0.0
v1.8.17_container	Cokeromyces_recurvatus	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0	0.0	0.0
v1.8.17_container	Colletotrichum_graminicola_M1.001	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0	0.0	0.0
v1.8.17_container	Cryptococcus_deneoformans	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0	0.0	0.0
v1.8.17_container	Cryptococcus_neoformans	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0498	0.0	0.0
v1.8.17_container	Cystobasidium_minutum_MCA_4210	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0	0.0	0.0
v1.8.17_container	Dactylellina_haptotyla_CBS_200.50	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0166	0.0	0.0
v1.8.17_container	Drepanopeziza_brunnea	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0	0.0	0.0
v1.8.17_container	Eremothecium_gossypii_ATCC_10895	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0	0.0	0.0
v1.8.17_container	Fusarium_oxysporum	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0166	0.0	0.0
v1.8.17_container	Fusarium_verticillioides	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0167	0.0	0.0
v1.8.17_container	Gaeumannomyces_tritici	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0166	0.0	0.0
v1.8.17_container	Kluyveromyces_lactis	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0166	0.0	0.0
v1.8.17_container	Laccaria_bicolor	FETCH_RNASEQ:WRITE_EMPTY_READS	1	1	0	0	0.0	0.0	0.003
v1.8.17_container	Laccaria_bicolor_S238N-H82	TRAIN_PREDICT:GENEMARK_RUN	2	0	2	0	0.0166	0.0	0.0
v1.8.17_container	Lachancea_thermotolerans	FETCH_RNASEQ:WRITE_EMPTY_READS	1	1	0	0	0.0	0.0	0.003
v1.8.17_container	Lachancea_thermotolerans_CBS_6340	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0166	0.0	0.0
v1.8.17_container	Leptographium_clavigerum_kw1407	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0	0.0	0.0
v1.8.17_container	Letharia_columbiana	FETCH_RNASEQ:WRITE_EMPTY_READS	1	1	0	0	0.0	0.0	0.0
v1.8.17_container	Letharia_columbiana_WasteWater2	TRAIN_PREDICT:GENEMARK_RUN	2	0	2	0	0.0166	0.0	0.0
v1.8.17_container	Lipomyces_tetrasporus	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0	0.0	0.0
v1.8.17_container	Malassezia_globosa	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0	0.0	0.0
v1.8.17_container	Malassezia_sympodialis_ATCC_42132	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0166	0.0	0.0
v1.8.17_container	Mixia_osmundae_IAM_14324	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0	0.0	0.0
v1.8.17_container	Morchella_importuna	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0166	0.0	0.0
v1.8.17_container	Morchella_sextelata	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0	0.0	0.0
v1.8.17_container	Morchella_sextelata_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	1	0	0	0.0001	0.0	0.003
v1.8.17_container	Mucor_mucedo	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0	0.0	0.0
v1.8.17_container	Nakaseomyces_glabratus	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0	0.0	0.0
v1.8.17_container	Orbilia_oligospora	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0166	0.0	0.0
v1.8.17_container	Parastagonospora_nodorum_SN15	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0	0.0	0.0
v1.8.17_container	Phycomyces_blakesleeanus	FETCH_RNASEQ:WRITE_EMPTY_READS	1	1	0	0	0.0	0.0	0.0
v1.8.17_container	Phycomyces_blakesleeanus_NRRL_1555_-	TRAIN_PREDICT:GENEMARK_RUN	2	0	2	0	0.0166	0.0	0.0
