species	size_bytes	category	note
Alternaria_atra	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_brassicicola	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_cf._alternata	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_chlamydospora	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_conjuncta	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_consortialis	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_destruens	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_ethzedia	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_gaisen	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_gansuensis	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_hordeiaustralica	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_incomplexa	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_infectoria	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_linariae	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_metachromatica	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_novae-zelandiae	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_oregonensis	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_porri	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_postmessia	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_radicina	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._ALMS-2024a	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._Ai002NY15	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._BMP_0032	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
