SPECIES,STRAIN,ASMID,LOCUSTAG,BUSCO_LINEAGE,TRANSL_TABLE,NCBI_TAXONID,GENOME
Aspergillus fumigatus,Af293,GCF_000002655.1,ASPFUM,eurotiomycetes_odb10,1,330879,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000002655.1_ASM265v1.masked.fasta.gz
Botrytis cinerea,B05.10,GCF_000143535.2,BOTCIN,leotiomycetes_odb10,1,332648,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000143535.2_ASM14353v4.masked.fasta.gz
Aspergillus clavatus,NRRL 1,GCF_000002715.2,ASPCLA,eurotiomycetes_odb10,1,344612,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000002715.2_ASM271v1.masked.fasta.gz
Zygosaccharomyces rouxii,CBS 732,GCF_000026365.1,ZYGROU,saccharomycetes_odb10,1,4956,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000026365.1_ASM2636v1.masked.fasta.gz
Tremella mesenterica,Fries,GCF_000271645.1,TREMES,tremellomycetes_odb10,1,578456,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000271645.1_Treme1.masked.fasta.gz
Morchella sextelata,SCLS,GCF_020137385.1,MORSEX,ascomycota_odb10,1,1174677,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_020137385.1_ASM2013738v1.masked.fasta.gz
Malassezia sympodialis,ATCC 42132,GCF_000349305.1,MALSYM,basidiomycota_odb10,1,1230383,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000349305.1_ASM34930v2.masked.fasta.gz
Mixia osmundae,IAM 14324,GCF_000708205.1,MIXOSM,basidiomycota_odb10,1,764103,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000708205.1_Mixia_osmundae_v1.0.masked.fasta.gz
Chaetomium globosum,CBS 148.51,GCF_000143365.1,CHAGLO,sordariomycetes_odb10,1,306901,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000143365.1_ASM14336v1.masked.fasta.gz
Lipomyces tetrasporus,NRRL Y-64009,GCF_029532465.1,LIPTET,saccharomycetes_odb10,1,54092,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_029532465.1_Liptet1.masked.fasta.gz
Gaeumannomyces tritici,R3-111a-1,GCF_000145635.1,GAETRI,sordariomycetes_odb10,1,644352,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000145635.1_Gae_graminis_V2.masked.fasta.gz
Mucor mucedo,NRRL 3635,GCF_025094135.1,MUCMUC,mucorales_odb10,1,29922,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_025094135.1_Mucmuc1.masked.fasta.gz
Sclerotinia sclerotiorum,1980,GCF_000146945.2,SCLSCL,leotiomycetes_odb10,1,665079,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000146945.2_ASM14694v2.masked.fasta.gz
Sporobolomyces koalae,JCM15063,GCF_050403365.1,SPOKOA,basidiomycota_odb10,1,500713,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_050403365.1_S_koalae_JCM15063v1.masked.fasta.gz
